,Title,Date_upload,Views,Likes,Month
312,"Periyar EVR Central Library, VIT",2020-09-04,5621,121,Sep
313,"School of Hotel & Tourism Management (HOT), VIT",2020-09-03,3122,107,Sep
314,VIT School of Planning and Architecture,2020-09-02,5949,113,Sep
315,VIT School of Agricultural Innovations and Advanced Learning (VAIAL),2020-09-01,11917,280,Sep
316,National Workshop on “Technical writing and presentation with Latex”,2020-08-29,589,16,Aug
317,"Department of Physical Education, VIT",2020-08-29,11406,240,Aug
318,National Workshop on “Technical writing and presentation with Latex”,2020-08-29,802,20,Aug
319,Virtual International Transdisciplinary Conference (VITC-2020),2020-08-28,459,12,Aug
320,Virtual International Transdisciplinary Conference (VITC-2020),2020-08-28,295,9,Aug
321,"School of Mechanical Engineering (SMEC), VIT",2020-08-28,9480,204,Aug
322,Virtual International Transdisciplinary Conference (VITC-2020),2020-08-27,439,18,Aug
323,"School of Advanced Sciences (SAS), VIT",2020-08-27,4829,114,Aug
324,Virtual International Transdisciplinary Conference (VITC-2020),2020-08-27,423,13,Aug
325,Virtual International Transdisciplinary Conference (VITC-2020),2020-08-26,594,22,Aug
326,Virtual International Transdisciplinary Conference (VITC-2020),2020-08-26,1258,50,Aug
327,"School of Social Sciences & Languages (SSL), VIT",2020-08-25,1272,35,Aug
328,"School of Information Technology & Engineering (SITE), VIT",2020-08-21,3140,87,Aug
329,"School of Electrical Engineering (SELECT), VIT",2020-08-20,4832,106,Aug
330,"School of Chemical Engineering (SCHEME), VIT",2020-08-19,4547,108,Aug
331,"School of Civil Engineering (SCE), VIT",2020-08-18,6563,155,Aug
332,"School of Electronics Engineering (SENSE), VIT",2020-08-17,10193,206,Aug
333,"School of Computer Science & Engineering (SCOPE), VIT.",2020-08-16,14682,283,Aug
334,"School of Bio Sciences & Technology (SBST),  VIT",2020-08-15,18547,407,Aug
335,74th Independence Day Celebration,2020-08-15,1512,64,Aug
336,"VIT Alumni Association, a quick Snapshot",2020-08-13,553,12,Aug
337,"VIT Alumni Association (VITAA)-We Share, We Care!",2020-08-13,1957,44,Aug
338,VIT Chennai,2020-08-12,66894,572,Aug
339,VIT AP,2020-08-12,22745,236,Aug
340,VIT Vellore & Overview,2020-08-10,31919,137,Aug
341,VIT Bhopal,2020-08-10,15078,94,Aug
342,"Industry Perspectives on Placements and Training, at VIT!",2020-08-07,1391,25,Aug
343,VIT Placements,2020-08-07,9173,132,Aug
344,Industry Experts on VIT,2020-08-07,4587,42,Aug
345,VIT-SIH2020 Valedictory,2020-08-04,999,55,Aug
346,Inauguration of Smart India Hackathon (SIH-2020),2020-08-01,3263,135,Aug
347,The Placements And Training (PAT) at VIT,2020-07-30,17516,259,Jul
348,VIT Online Learning (VITOL),2020-07-25,3137,57,Jul
349,COVID-19 Disease Control - Opportunities and Challenges for Drug Discovery and Development,2020-07-25,1011,39,Jul
350,COVID-19 Disease Control - Opportunities and Challenges for Drug Discovery and Development,2020-07-24,578,22,Jul
351,COVID-19 Disease Control - Opportunities and Challenges for Drug Discovery and Development,2020-07-24,1156,51,Jul
352,"""Sales Skills are Life Skills"" by Prof. Deva Rangarajan, Ball State University, Indianapolis, USA",2020-07-21,244,4,Jul
353,"“Dara, analytics, and Positioning for Financial Services” by Mr. Srinivasan Ramanujam.",2020-07-21,96,0,Jul
354,“Become a leader in the Tech Industry win your dream job or promotion to achieve Growth”,2020-07-21,102,3,Jul
355,"“Changing Consumer Behaviour leads to New Avenues of Business”, By Ms. Likitha Bhanu, Hyderabad",2020-07-21,49,1,Jul
356,"“Effective Business Management System through ISO Standards”, by Mr.V.Premkumar, UAE",2020-07-21,57,0,Jul
357,"“On COVID-19 Coronavirus” by Dr. Suganya Chandramohan, MD Internal Medicine, Michigan, USA",2020-07-21,166,2,Jul
358,"“UX design as a career path in the world of AI” by Suresh Kumar TS, Google Inc, Seattle, USA",2020-07-21,165,5,Jul
359,Evaluation and genome analysis of SARS - CoV 2 by Dr Prasanth Manohar,2020-07-21,214,5,Jul
360,"“Carving a Career in Bio-Research” by Dr. M. Siva Sankari, MIT, Cambridge, USA",2020-07-21,139,13,Jul
361,One day Virtual Conference Careers in Cyber Security Analysis and Auditing,2020-07-19,1727,67,Jul
362,Academic Staff College-VIT,2020-07-09,1514,26,Jul
363,One Day International Virtual Conference on Recent Trends in Plant Genetics and Genomics,2020-07-07,1412,64,Jul
364,One Day International Virtual Conference on Recent Trends in Plant Genetics and Genomics,2020-07-07,3533,141,Jul
365,International Virtual Conference on Natural Products and Synthetic Biology (ICNSB - 2020),2020-07-05,775,36,Jul
366,International Virtual Conference on Natural Products and Synthetic Biology (ICNSB - 2020),2020-07-05,922,31,Jul
367,International Virtual Conference on Natural Products and Synthetic Biology (ICNSB - 2020),2020-07-04,797,29,Jul
368,International Virtual Conference on Natural Products and Synthetic Biology (ICNSB - 2020),2020-07-04,533,12,Jul
369,International Virtual Conference on Natural Products and Synthetic Biology (ICNSB - 2020),2020-07-04,1020,41,Jul
370,M.Tech. Nanotechnology at VIT,2020-07-03,778,11,Jul
371,"Virtual conference on ""High-Performance Materials for Energy, Env. & Healthcare in the Digital Era""",2020-07-01,841,34,Jul
372,"Virtual conference on ""High-Performance Materials for Energy, Env. & Healthcare in the Digital Era""",2020-07-01,4253,93,Jul
373,"Virtual conference on ""High-Performance Materials for Energy, Env. & Healthcare in the Digital Era""",2020-06-30,4357,100,Jun
374,"Virtual conference on ""High-Performance Materials for Energy, Env. & Healthcare in the Digital Era""",2020-06-30,5485,154,Jun
375,Virtual Conference on Wearable Technologies & Applications (WeTA 2020),2020-06-27,758,18,Jun
376,Virtual Conference on Wearable Technologies & Applications (WeTA 2020),2020-06-27,795,20,Jun
377,Virtual Conference on Wearable Technologies & Applications (WeTA 2020),2020-06-26,894,25,Jun
378,Virtual Conference on Wearable Technologies & Applications (WeTA 2020),2020-06-26,1494,40,Jun
379,International Virtual Conference on Immersive Education with VR/AR (ICEVAR'20),2020-06-25,888,23,Jun
380,International Virtual Conference on Immersive Education with VR/AR (ICEVAR'20),2020-06-25,636,35,Jun
381,Virtual International conference on Photovoltaic and Materials Science,2020-06-23,2154,67,Jun
382,"International Webinar on ""COVID 19""",2020-06-22,825,39,Jun
383,"""Yoga for Health - Yoga at Home"" online Session",2020-06-21,784,44,Jun
384,"""Yoga for Health - Yoga at Home"" online Session",2020-06-21,457,22,Jun
385,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-19,342,3,Jun
386,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-19,336,15,Jun
387,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-19,226,5,Jun
388,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-19,267,9,Jun
389,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-19,177,2,Jun
390,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-19,214,4,Jun
391,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-19,136,3,Jun
392,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-19,177,7,Jun
393,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-19,362,17,Jun
394,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-19,300,9,Jun
395,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-19,299,12,Jun
396,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-19,324,16,Jun
397,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-19,200,8,Jun
398,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-18,743,30,Jun
399,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-18,368,8,Jun
400,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-18,324,10,Jun
401,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-18,721,22,Jun
402,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-18,337,7,Jun
403,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-18,252,8,Jun
404,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-18,373,12,Jun
405,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-18,361,14,Jun
406,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-18,272,9,Jun
407,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-18,316,13,Jun
408,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-18,438,15,Jun
409,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-18,349,10,Jun
410,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-17,368,15,Jun
411,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-17,309,9,Jun
412,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-17,647,22,Jun
413,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-17,331,7,Jun
414,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-17,101,0,Jun
415,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-17,553,22,Jun
416,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-17,456,16,Jun
417,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-17,430,9,Jun
418,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-17,459,14,Jun
419,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-17,731,28,Jun
420,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-17,836,29,Jun
421,International Virtual Conference on Advanced Nanomaterials and Applications (VCAN 2020),2020-06-17,1289,62,Jun
422,A tribute to all the amazing women achievers at VIT!,2020-03-16,1091,40,Mar
423,VIT RIVIERA 2020 featured in Times Now Channel.,2020-03-12,10944,277,Mar
424,"Vellore Institute of Technology, an Institution of Eminence.",2020-03-11,4056,57,Mar
425,"Vellore Institute of Technology, an Institution of Eminence",2020-03-07,4637,32,Mar
426,"Vellore Institute of Technology, an Institution of Eminence",2020-03-07,14502,125,Mar
427,Glimpses of Riviera 2020 at VIT!,2020-03-07,550566,1477,Mar
428,"Vellore Institute of Technology, an Institution of Eminence!",2020-03-07,2977,9,Mar
429,"Vellore Institute of Technology, an Institution of Eminence!",2020-03-07,2416,5,Mar
430,"Vellore Institute of Technology, an Institution of Eminence",2020-03-07,2666,5,Mar
431,"Vellore Institute of Technology, an Institution of Eminence",2020-03-07,3063,11,Mar
432,"Vellore Institute of Technology, an Institution of Eminence",2020-03-07,3432,8,Mar
433,"Vellore Institute of Technology, an Institution of Eminence",2020-02-06,11435,39,Feb
434,"Vellore Institute of Technology, an Institution of Eminence",2020-02-06,6804,48,Feb
435,"Vellore Institute of Technology, an Institution of Eminence",2020-02-06,12615,31,Feb
436,"VIT, an Institution of Eminence",2020-02-06,952486,279,Feb
437,Vellore Institute of Technology,2020-01-09,588216,10051,Jan
438,"Dr. Geetha Manivasagam, Professor and Director, CBCMT, VIT @ WISE Conference (IIT Kanpur) video",2019-12-19,1534,21,Dec
439,Inauguration of 2nd International Conference on Nanoscience and Nanotechnology (ICNAN’19),2019-11-29,773,13,Nov
440,Inauguration of 2nd International Conference on Nanoscience and Nanotechnology (ICNAN’19),2019-11-28,253,3,Nov
441,VIT Vice President Dr. Sekar Viswanathan at Inauguration of VIT Students' Council 2019,2019-11-27,558,10,Nov
442,VIT Vice President Dr. Sekar Viswanathan at Jai Shakti Abhiyan- Dept. of School Education-2019,2019-11-27,325,5,Nov
443,"VIT Executive Director, Dr. Sandhya Pentareddy, ASME Asia Pacific, E Fest, 2019.",2019-11-27,671,6,Nov
444,"VIT Executive Director, Dr. Sandhya Pentareddy, STARS Orientation and Induction programme, 2019",2019-11-27,3285,52,Nov
445,"Dr. Sandhya Pentareddy, 43rd Annual Conference Of Environmental Mutagen Society Of India, 2019",2019-11-27,300,7,Nov
446,"Dr. Sandhya Pentareddy, Bharathidasan Tamil Mandram Inaugural function, 2019.",2019-11-27,711,13,Nov
447,"VIT Executive Director, Dr. Sandhya Pentareddy - B.Tech Induction Programme – 2019",2019-11-27,212,4,Nov
448,"VIT Vice President, Dr. Sekar Viswanathan, Student Inauguration Function, 2009-10 (Part 2)",2019-11-27,57,0,Nov
449,"VIT Vice President, Dr. Sekar Viswanathan at the Student Inauguration Function for the term 2009-10",2019-11-27,52,0,Nov
450,"VIT Vice President, Dr. Sekar Viswanathan, VIT Alumni Association for the Batch of 1990, 2009.",2019-11-27,138,1,Nov
451,"VIT Vice President, Dr. Sekar Viswanathan at Riviera 2008, Valedictory Function",2019-11-27,134,2,Nov
452,"VIT VP, Dr. Sekar Viswanathan, University Day & the Chinese Language Center Inauguration, 2009",2019-11-27,95,1,Nov
453,"VIT Vice President, Dr. Sekar Viswanathan at the University Day Celebration, 2009.",2019-11-27,59,1,Nov
454,"VIT Vice President, Dr. Sekar Viswanathan at the Valedictory function of Phreak'07.",2019-11-27,63,1,Nov
455,"VIT Vice President, Dr. Sekar Viswanathan, Inauguration Ceremony of VIT's Students’ Council, 2009.",2019-11-27,45,0,Nov
456,"VIT Vice President, Dr. Sekar Viswanathan @ the Chess Competition held for adolescent students, 2009",2019-11-27,86,2,Nov
457,"VIT Vice President, Dr. Sekar Viswanathan speaks at the graVITas 2009, Valedictory  Function.",2019-11-27,72,1,Nov
458,"VIT Vice President, Dr. Sekar Viswanathan at the graVITas 2009, Valedictory  Function.",2019-11-27,52,0,Nov
459,"VIT Vice President, Dr. Sekar Viswanathan at the launch of the Kaizen Newsletter Initiative, 2009.",2019-11-27,20,0,Nov
460,"VIT Vice President, Dr. Sekar Viswanathan at the Silver Jubilee Alumni Meet (S-JAM), 2009 (Part 1)",2019-11-27,86,0,Nov
461,"VIT Vice President, Dr. Sekar Viswanathan at the Silver Jubilee Alumni Meet (S-JAM), 2009 (Part 2)",2019-11-27,67,1,Nov
462,"VIT Vice President, Dr. Sekar Viswanathan at the Chess Competition held in 2008",2019-11-27,26,0,Nov
463,VIT Vice President Dr. Sekar Viswanathan at Riviera'09 Valedictory function.,2019-11-27,60,0,Nov
464,"VIT Vice President, Dr. Sekar Viswanathan at the Orientation Program, 2009 (Part 1)",2019-11-27,31,0,Nov
465,VIT Vice President Dr. Sekar Viswanathan at 2009 Orientation Programme for Freshers.,2019-11-27,24,0,Nov
466,"VIT Executive Director, Dr. Sandhya Pentareddy at the Inaugural Ceremony of ARCS, 2019",2019-11-26,550,9,Nov
467,"VIT Executive Director, Dr. Sandhya Pentareddy, Inauguration of VITOL Studios, 2019",2019-11-26,882,13,Nov
468,"VIT Vice President, Dr. Sekar Viswanathan at the Orientation Program, 2009 (Part 1)",2019-11-26,70,3,Nov
469,"VIT Vice President, Dr. Sekar Viswanathan at the Orientation Program, 2009 (Part 2)",2019-11-26,67,2,Nov
470,"VIT Vice President, Dr. Sekar Viswanathan at the Orientation Program, 2009 (Part 1)",2019-11-26,114,1,Nov
471,"VIT Vice President, Dr. Sekar Viswanathan at the graVITas 2010, Valedictory Function.",2019-11-26,33,1,Nov
472,"VIT Vice President, Dr. Sekar Viswanathan celebrating VIT’s Silver Jubilee, 2010 (Part 2)",2019-11-26,23,0,Nov
473,"VIT Vice President, Dr. Sekar Viswanathan celebrating VIT’s Silver Jubilee, 2010 (Part 1)",2019-11-26,48,1,Nov
474,"VIT Vice President, Dr. Sekar Viswanathan, Semester Abroad Programme (SAP), 2009 (Part 2)",2019-11-26,272,3,Nov
475,"VIT VP, Dr. Sekar Viswanathan introducing the Semester Abroad Programme (SAP), 2009 (Part 1)",2019-11-26,1241,11,Nov
476,"VIT VP, Dr. Sekar Viswanathan, 33nd Annual International Conference of ISP Association, 2011",2019-11-26,31,0,Nov
477,"VIT Vice President, Dr. Sekar Viswanathan at the Inaugural function, 2011-12",2019-11-26,25,0,Nov
478,"VIT Vice President, Dr. Sekar Viswanathan, Vetri Nichayam, 2011",2019-11-26,63,3,Nov
479,"VIT Vice President, Dr. Sekar Viswanathan speaks during the Amal Jyothi Graduation Ceremony, 2012.",2019-11-26,39,1,Nov
480,"VIT Vice President, Dr. Sekar Viswanathan, Alumni Day, 2012",2019-11-26,37,0,Nov
481,"VIT VP, Dr. Sekar Viswanathan at Raja Desing Public School, Kalaiyur-Nattarmangalam, 2012.",2019-11-26,61,0,Nov
482,"VIT VP, Dr. Sekar Viswanathan in Jaya TV, Free Summer Coaching Camp Initiative, 2012.",2019-11-26,2412,11,Nov
483,"VIT Vice President, Dr. Sekar Viswanathan at FeTNA, 2012",2019-11-26,26,0,Nov
484,"VIT VP, Dr. Sekar Viswanathan at the Don Bosco Primary School’s 81st Anniversary day, 2013",2019-11-26,74,0,Nov
485,"VIT Vice President, Dr. Sekar Viswanathan at the 1st years’ Orientation Programme, 2013",2019-11-26,25,1,Nov
486,"Orientation Programme For 1st Year Candidates, SBST SMBS, 2013",2019-11-26,63,0,Nov
487,"VIT Vice President, Dr. Sekar Viswanathan at the M.Tech Orientation Programme, 2013",2019-11-26,121,1,Nov
488,"VIT VP, Dr. Sekar Viswanathan @ the Inauguration Ceremony of VIT's Students’ Council (2013-14).",2019-11-26,176,1,Nov
489,"VIT VP, Dr. Sekar Viswanathan’s wishes for Chancellor, Dr. G. Viswanathan’s 75th Birthday, 2013.",2019-11-26,515,5,Nov
490,"VIT Vice President, Dr. Sekar Viswanathan in SITI Gold Channel, Arivoom Ariviyal’s 110th Week, 2013",2019-11-26,104,1,Nov
491,"SEED 2nd National Conference on Sustainable Institute Industry Partnership, Day 2, 26th August 2014.",2019-11-26,18,1,Nov
492,"VIT Vice President, Dr. Sekar Viswanathan at the B.Tech Orientation Programme, SMBS & SBST, 2014.",2019-11-26,48,1,Nov
493,"VIT VP, Dr. Sekar Viswanathan @ the VIT Alumni Association – Batch of 1988 & 1989 Reunion, 2014.",2019-11-26,3342,44,Nov
494,"VIT Vice President, Dr. Sekar Viswanathan at the B.Tech Orientation Programme, SELECT & SENSE, 2014.",2019-11-26,16,0,Nov
495,"VIT Vice President, Dr. Sekar Viswanathan at the MCA & M.Tech Orientation Programme, 2014.",2019-11-26,84,1,Nov
496,"VIT Executive Director, Dr. Sandhya Pentareddy, International Women’s Day Celebration , 2019",2019-11-26,214,1,Nov
497,"VIT Executive Director, Dr. Sandhya Pentareddy @ the Mathematical Meet, 2019",2019-11-26,599,3,Nov
498,"VIT VP Dr. Sekar Viswanathan felicitates Mr. S, Sathish Kumar, Commonwealth Gold medal winner, 2014",2019-11-26,30,1,Nov
499,"VIT VP, Dr. Sekar Viswanathan at the MCA & M.Tech Orientation Programme, 2014.",2019-11-26,19,0,Nov
500,"VIT VP, Dr. Sekar Viswanathan @ Inauguration ceremony of VIT University Students’ Council (2014-15).",2019-11-26,59,0,Nov
501,"VIT Vice President, Dr. Sekar Viswanathan @ Purdue University International Workshop, July 2015.",2019-11-25,81,4,Nov
502,"SEED 2nd International Conference on Sustainable Institute Industry Partnership, Aug 25 & 26, 2016",2019-11-25,20,0,Nov
503,"VIT Vice President ,Dr. Sekar Viswanathan at Festivity, 2015 in VIT",2019-11-25,50,0,Nov
504,"VIT Vice President, Dr. Sekar Viswanathan  at TPGIT Silver Jubilee celebration, 2014-15",2019-11-25,120,2,Nov
505,VIT Vice President Dr. Sekar Viswanathan  at Nanda Engineering College’s 10th Graduation Day – 2015,2019-11-25,77,1,Nov
506,"VIT VP, Dr. Sekar Viswanathan @ the Alumni Silver Jubilee Reunion for the 1991 batch, 14 Aug, 2015.",2019-11-25,82,1,Nov
507,"VIT Vice President, Dr. Sekar Viswanathan @ the Valedictory function of Annual Conference of IEO",2019-11-25,41,0,Nov
508,"VIT Vice President, Dr. Sekar Viswanathan  at VIT-Dinakaran Vetri Namadhe, 2019",2019-11-25,70,0,Nov
509,"VIT Vice President, Dr. Sekar Viswanathan at Riviera, 2019",2019-11-25,4042,56,Nov
510,"VIT Vice President, Dr. Sekar Viswanathan at the University Day & Annual Sports Day Programme – 2019",2019-11-25,67,3,Nov
511,"VIT VP, Dr. Sekar Viswanathan @ Govt. Schools’ HM's 100 % Achievers’ Award Programme – 2019",2019-11-25,38,0,Nov
512,"VIT Vice President, Dr. Sekar Viswanathan at the B.Tech Induction Programme, Session 3 - 2019",2019-11-25,114,5,Nov
513,"VIT Vice President, Dr. Sekar Viswanathan at the B.Tech Induction Programme, Session 1 - 2019",2019-11-25,1524,12,Nov
514,"VIT Vice President Dr. Sekar Viswanathan @ B.Tech B.Arch B.Des Induction Programme 2019, Session 5.",2019-11-22,382,9,Nov
515,"VIT Vce President, Dr. Sekar Viswanathan at VIT Business School Orientation Programme, 2019.",2019-11-22,256,6,Nov
516,"VIT Vice President, Dr. Sekar Viswanathan @ M.Tech, MCA & M.Sc - Induction Programme 2019 Session 3.",2019-11-22,4159,66,Nov
517,"B.Com, BBA, BCA, B.Sc (CS), B.Sc (MM), B.Sc (C & H Mgnt.), B.Sc (Agri) - Induction Program, 2019.",2019-11-22,8719,187,Nov
518,"VIT Vice President, Dr. Sekar Viswanathan at THANIMA 2019",2019-11-22,832,12,Nov
519,VIT Vice President Dr. Sekar Viswanathan at graVITas19 Valedictory Function,2019-11-21,278,7,Nov
520,VIT Vice President Dr. Sekar Viswanathan on STARS Day 2019,2019-11-11,1330,37,Nov
521,Navig8,2019-11-05,1035,20,Nov
522,"Honourable Chancellor of VIT, Dr. G. Viswanathan",2019-10-19,8713,145,Oct
523,VIT Executive Director- Dr. Sandhya Pentareddy,2019-10-18,3475,65,Oct
524,"Shri. Nitin Gadkari,  Minister for Road Transport, Highways and MSME.",2019-10-18,1313,24,Oct
525,VIT Vice President- Dr. Sekar Viswanathan,2019-10-18,5729,102,Oct
526,Ms. Basak Gumus,2019-09-16,736,24,Sep
527,"Ms. Beata Kaclmarek || Adjunct Professor in CBCMT- VIT from Nicolaus Copernicus University, Torun.",2019-09-16,647,17,Sep
528,Support The Advancement of Rural Students(STARS) | VIT,2019-09-11,3277,213,Sep
529,GraVITas19 Expo Teaser,2019-09-04,3883,25,Sep
530,graVITas - 19,2019-09-04,457,8,Sep
531,73rd Independence Day Celebration,2019-08-15,2890,62,Aug
532,Dr. Paulo Lisboa,2019-08-13,373,7,Aug
533,Dr. Ketul C. Popat,2019-08-13,506,10,Aug
534,"Expert talk by Dr. Youngwhan Lee from South Korea on ""Recent trends in AI and Blockchain"".",2019-08-07,360,11,Aug
535,E-Summit'19: After-Movie,2019-08-07,1739,58,Aug
536,Artificial Intelligence,2019-08-06,2196,40,Aug
537,VIT-MUNSoc,2019-07-31,1005,26,Jul
538,TEAM ROVERX: Promotional Video,2019-07-25,937,31,Jul
539,graVITas'19: Technology Driven Transformation,2019-07-19,1855,43,Jul
540,VITMEE 2019 Counselling | M.Tech. CSE spl in. AI & ML | Saurabh Kulkarni | Maharashtra,2019-06-19,5435,44,Jun
541,VITMEE 2019 Counselling | M.Tech. Control & Automation Student | Rutvik | Solapur,2019-06-19,987,6,Jun
542,VITMEE 2019 Counselling | Ms. Hegwasha Sharon Tep (Student),2019-06-19,1008,10,Jun
543,VIT Trekking Club ~ Video,2019-05-29,3378,43,May
544,Team Assailing Falcons | Aerodesign Team | VIT,2019-05-22,2011,49,May
545,VITEEE 2019 Counselling | B.Tech. CSE and Business Systems Student | Soumya Biswal,2019-05-14,6128,79,May
546,Ms  Madhu Vasudevan Parent,2019-05-14,621,6,May
547,Ms  Jolly Hiren Kotecha Parent,2019-05-14,442,6,May
548,VITEEE 2019 Counselling | B.Tech. CSE spl in Network & Security Student | Sowmya,2019-05-14,1661,14,May
549,VITEEE 2019 Counselling | Vikram Harsha (Parent),2019-05-14,909,5,May
550,Deep Hiren Kotecha,2019-05-14,321,6,May
551,Chamarthi Bindhu Madhava Varma,2019-05-14,666,7,May
552,VITEEE 2019 Counselling | Dr. Anil Joseph (Parent),2019-05-14,657,5,May
553,VITEEE 2019 Counselling | Vijay Narayana (Parent),2019-05-14,361,2,May
554,Mr. Sanjay Rawat,2019-05-14,1814,12,May
555,VITEEE 2019 Counselling | B.Tech. EIE Student | Monica Gudapati,2019-05-14,1714,27,May
556,Sreerag M V,2019-05-14,661,28,May
557,VITEEE 2019 Counselling | B.Tech. Civil Engineering Student | Alina Anil,2019-05-14,1371,10,May
558,Shivansh Sharma,2019-05-14,486,8,May
559,Ms  Santosh Laddha,2019-05-14,351,14,May
560,Divyansh Chhabra,2019-05-14,659,9,May
561,Samriddhi Singh,2019-05-14,705,4,May
562,Mr. Kaushik,2019-05-14,413,10,May
563,VITEEE 2019 Counselling | B.Tech. Aerospace Engineering Student | Susindhar S,2019-05-13,2695,48,May
564,VITEEE 2019 Counselling | B.Tech. CSE spl in Cyber Physical Systems Student | Megha Shree V,2019-05-13,3451,42,May
565,Vemula Vaibhav,2019-05-13,980,12,May
566,Madhur Laddha,2019-05-13,851,8,May
567,Hridya Ashokan,2019-05-13,1335,16,May
568,VITEEE 2019 Counselling | Col. Saurabh Kant Sharma (Parent),2019-05-11,1353,15,May
569,VITEEE 2019 Counselling | B.Tech EIE Student | Tejaswini Desai | Gujarat,2019-05-11,2282,29,May
570,VITEEE 2019 Counselling | Ms. Padmapriya Prasad (Parent),2019-05-10,2318,36,May
571,VITEEE 2019 Counselling | B.Tech. Mechanical Engineering Student | Vedant | Bangalore,2019-05-10,3956,62,May
572,VIT Riviera 2019,2019-04-05,7660,141,Apr
573,Bamboo Construction & Techniques Workshop ~ V-SPARC - VIT Vellore,2019-03-13,1199,14,Mar
574,Riviera 2K19,2019-03-05,47686,786,Mar
575,Riviera  2019,2019-02-17,10971,348,Feb
576,"Ayushmann Khurrana: Day 2, Proshows, Riviera 2019",2019-02-13,3984,105,Feb
577,"Sonu Nigam: DAY 1, Riviera 2019",2019-02-11,35072,299,Feb
578,Pariksha Pe Charcha 2.0,2019-01-31,704,15,Jan
579,Riviera '19 Teaser,2019-01-29,2334,85,Jan
580,VITAA Day 2019,2019-01-26,2405,55,Jan
581,70th Republic Day Celebration,2019-01-26,2187,52,Jan
582,National Girl Child Day,2019-01-24,3841,73,Jan
583,VIT Video,2019-01-11,202779,2919,Jan
584,Riviera 2019,2019-01-10,2358,63,Jan
585,101st Annual Conference of the Indian Economic Association 2018 (IEA),2018-12-27,1528,38,Dec
586,Behind the scenes- Bonfire of Dreams,2018-10-16,1602,50,Oct
587,Convocation 2018,2018-10-05,26523,577,Oct
588,Heritage Connect 2018  V SPARC,2018-10-05,892,32,Oct
589,Gravitas Trailer 2018,2018-08-29,3236,79,Aug
590,V SPARC 2018,2018-08-01,3792,48,Aug
591,Art Festival 2018,2018-08-01,727,22,Aug
592,Freshers Orientation - 2018,2018-07-27,8672,88,Jul
593,Pravega Racing,2018-07-27,491,19,Jul
594,Are you a prisoner of your cell - phone?,2018-07-26,331,10,Jul
595,Welcome Message from Hon'ble Chancellor Dr. G. Viswanathan - #VITAANACNJ2018,2018-07-25,1226,23,Jul
596,Thanga Magan - Mr Sathish Sivalingam,2018-04-17,4292,134,Apr
597,VIT VIDEO,2018-04-05,3243,45,Apr
598,Code2Create,2018-03-26,777,24,Mar
599,VITBS - Vellore,2018-03-15,3345,45,Mar
600,VITBS - Vellore,2018-03-15,449,4,Mar
601,Tushar Singh Womens Day,2018-03-08,328,7,Mar
602,final hd,2018-03-08,1603,31,Mar
603,Women's Day Final,2018-03-08,571,19,Mar
