,Title,Date_upload,Views,Likes,Month
150,Developing Engg. Clinics Project Prototypes,2022-09-12,1760,46.0,Sep
151,Onam & Aarattu Celebrations | VITAP University,2022-09-08,3186,80.0,Sep
152,VIT-AP 76th Independence Day Celebrations,2022-08-16,2943,71.0,Aug
153,VIT - AP UNIVERSITY  76th  INDEPENDENCEDAY CELEBRATIONS,2022-08-15,1465,30.0,Aug
154,Azadi: A Tribute to Heroes of Indian Independence || 76th Independence Day || VIT-AP University,2022-08-14,1566,98.0,Aug
155,ICCIDE 2022  Conference,2022-08-12,431,9.0,Aug
156,Social innovation from collaborative governance,2022-07-27,361,11.0,Jul
157,International conference ICATP2022,2022-07-16,837,38.0,Jul
158,Deforestation and Heat Wave: A closer look at India’s Environmental Problems || VIT-AP University,2022-07-07,444,10.0,Jul
159,"2nd ONE WEEK WORKSHOP ON VLSI DEVICE, CIRCUIT, AND SYSTEM DESIGN TOOLS",2022-06-23,422,14.0,Jun
160,VIT AP University University Day HMTV,2022-06-07,774,12.0,Jun
161,VIT AP University Day 99 TV,2022-06-07,411,4.0,Jun
162,VIT AP University Day Raj News,2022-06-07,320,7.0,Jun
163,VIT AP University Day Raj News 2,2022-06-07,301,2.0,Jun
164,VIT AP University Day TV5,2022-06-07,215,6.0,Jun
165,VIT AP University Day 10 TV,2022-06-03,432,14.0,Jun
166,VIT AP UNIVERSITY DAY CELEBRATIONS  2022 City News Telugu,2022-06-03,1798,31.0,Jun
167,VIT AP University Day ABN,2022-06-03,689,23.0,Jun
168,VIT AP University Day T News,2022-06-02,638,24.0,Jun
169,VIT AP University Day City News Mangalagiri,2022-06-02,956,19.0,Jun
170,VIT-AP UNIVERSITY DAY CELEBRATIONS -2022,2022-06-01,7449,143.0,Jun
171,VIT-AP UNIVERSITY DAY CELEBRATIONS -2022,2022-06-01,9199,201.0,Jun
172,"Introduction to NLP - Applications, Scope, Job Opportunities||VIT-AP University||Dr. Monali Bordoloi",2022-05-28,707,34.0,May
173,Mobile Systems and Computing for Global Development||VIT-AP University|| SCOPE||Dr. Udit Narayan Kar,2022-05-28,321,18.0,May
174,Global career in law and technology || VIT-AP University || VSL || Prof. Mula Sneha Goud,2022-05-23,2577,102.0,May
175,HPC and Computational Science - The Future of Computing || VIT-AP University || Dr. Subrata Tikadar,2022-05-20,913,36.0,May
176,Introduction to Additive Manufacturing || VIT-AP University || SMEC || Dr. Suyog Jhavar,2022-05-20,593,54.0,May
177,Introduction to Integrated B.A. M.A. Public Services Program||VIT-AP University||Dr. Deepjoy Katuwal,2022-05-16,841,41.0,May
178,National workshop on RF & Microwave components,2022-05-14,249,8.0,May
179,A Sneak Peek of Embedded Systems and its Prospects || VIT-AP University || Prof. Kalyan Chakravarthi,2022-05-14,2484,57.0,May
180,Internet of Things (IoT) in 2 minutes || VIT-AP University || SCOPE || Dr. Rohit Kumar Das,2022-05-14,1279,86.0,May
181,Let us understand Blockchain Technology|| VIT-AP University || SCOPE || Dr. Arundhati Das,2022-05-14,610,17.0,May
182,5G Cellular Technologies || VIT-AP University || Prof. Samuel Johnson,2022-05-14,1444,78.0,May
183,Deep Learning in 2 minutes || VIT-AP University || SCOPE || Dr. Monali Bordoloi,2022-05-14,714,26.0,May
184,A Beginner’s Guide to Data Science || VIT-AP University || SAS || Dr. Ranjan Kumar,2022-05-14,2612,114.0,May
185,Cyber Security in 2 Minutes || VIT-AP University || SCOPE || Dr. Monali Bordoloi,2022-05-14,1115,38.0,May
186,Climate crisis and future implications,2022-05-07,369,11.0,May
187,Careers flourish at VIT - AP |UG/PG  Admissions Open 2022,2022-05-05,1419763,31.0,May
188,UG-PG Non- B.Tech Admissions Open 2022 | Discover the VIT-AP Advantage,2022-05-02,567,13.0,May
189,VIT-AP University Promo Video - 2022,2022-04-20,34223,580.0,Apr
190,How to Reach VIT-AP University?,2022-04-12,4345,68.0,Apr
191,Checklist for Freshers before coming to Hostel || VIT-AP University || Social Media Committee,2022-04-12,40058,418.0,Apr
192,Guest Lecture session Lecture on Neural Networks,2022-04-11,314,11.0,Apr
193,Guest Lecture on Law of Succession,2022-04-08,218,7.0,Apr
194,VIT AP 63 LPA Mahaa News,2022-04-05,633,17.0,Apr
195,Distinguished International Guest Lecture on International Law and the use of forces,2022-04-01,215,14.0,Apr
196,VIT AP 63 LPA 99 TV,2022-04-01,468,20.0,Apr
197,VIT AP SSC GUNTUR NEWS 25 03 2022,2022-03-31,607,23.0,Mar
198,VIT AP SITI NEWS MANGALAGIRI 26 03 2022,2022-03-31,112,1.0,Mar
199,VIT AP Student Bags Rs 63 Lakh per Annum International Offer hmtv,2022-03-31,251,0.0,Mar
200,VIT Student Get 63 Lakh Annual Package T News,2022-03-31,304,9.0,Mar
201,VIT AP University Student Selected American Analytics Company On 63 Lakhs Package Sakshi TV,2022-03-31,435,15.0,Mar
202,Raj News_63 LPA,2022-03-31,84,3.0,Mar
203,Metro Plus News 63 LPA,2022-03-31,180,7.0,Mar
204,AP VIT Student Gets Job In US based Company With Package Of Rs 63 Lakh Per Annum V6 News,2022-03-31,217,9.0,Mar
